condition,n_runs,n_audited,audit_parse_recovered,audit_parse_failures,citations_present_pct,citations_resolvable_pct,fabricated_details_pct,page_or_section_hallucinated_pct,high_risk_pct,mean_tool_calls,mean_latency_s,mean_resolver_success_rate
baseline,22,22,1,0,40.909090909090914,18.181818181818183,27.27272727272727,9.090909090909092,22.727272727272727,1.1363636363636365,7.208956881002947,1.0
vectr,22,22,0,0,81.81818181818183,45.45454545454545,4.545454545454546,22.727272727272727,9.090909090909092,2.5454545454545454,12.099432695995677,0.5
